Back,Back
Save,Save
Donation Amounts,Donation Amounts
Add,Add
Donation,Donation
Custom Amount,Custom Amount
Charity,Charity
You deleted the charity,You deleted the charity
We can't delete the charity right now. Please review the log and try again.,We can't delete the charity right now. Please review the log and try again.
We can't find a carrier to delete.,We can't find a carrier to delete.
Edit Charity,Edit Charity
New Charity,New Charity
You saved the charity.,You saved the charity.
Something went wrong while saving the charity data. Please review the error log.,Something went wrong while saving the charity data. Please review the error log.
Statistics,Statistics
Please specify a donation amount.,Please specify a donation amount.
Problem with charity collection,Problem with charity collection
Edit,Edit
Delete,Delete
Add Donation,Add Donation
Remove Donation,Remove Donation
Donations,Donations
Minimum donation,Minimum donation
was added to your order total,was added to your order total
donation was successfully applied.,donation was successfully applied.
Could not apply donation,Could not apply donation
donation was successfully delete.,donation was successfully delete.
ERROR,ERROR
MageWorx Donations,MageWorx Donations
Accept Cart Donations,Accept Cart Donations
Enable donations in Admin Orders,Enable donations in Admin Orders
Minimum Donation,Minimum Donation
The minimum value of donation,The minimum value of donation
Default Description,Default Description
Donation Amount Placeholder,Donation Amount Placeholder
Show Predefined Amounts,Show Predefined Amounts
Predefined Amounts,Predefined Amounts
Name,Name
Description,Description
Active,Active
Sort Order,Sort Order
Add New Charity,Add New Charity
Store View,Store View
Delete items,Delete items
Are you sure you want to delete selected items,Are you sure you want to delete selected items
Inactive,Inactive
Is Active,Is Active
Image,Image
Created,Created
Updated,Updated
